Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan Term,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.17%,2510,4.67%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.35%,2510,4.68%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.48%,2510,4.70%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.60%,2510,4.74%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.70%,2510,4.79%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,Variable SmartFit Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-interest-only-52403,VARIABLE,5.04,52403,5.2,0,0,0,Variable,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,Variable SmartFit Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-interest-only-52402,VARIABLE,4.54,52402,4.7,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,Variable SmartFit,https://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-40320,VARIABLE,4.79,40320,5,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$375.00,$0,$0,$120.00,$15.00,$325.00,
Adelaide Bank,Variable SmartFit,https://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-2478,VARIABLE,4.09,2478,4.31,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,SmartSaver interest only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52401,VARIABLE,4.99,52401,4.97,0,0,0,Basic,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,4.74%,52400,4.91%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$50,000.00",TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,4.64%,52400,4.88%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$50,000.00",TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,4.69%,52400,4.87%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$50,000.00",TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,5.04%,52400,4.98%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$50,000.00",TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,5.09%,52400,5.01%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$50,000.00",TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52397,VARIABLE,4.49,52397,4.47,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.44%,52398,4.43%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,
