Company,Product,url,Home Loan Type,Rate,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan Term,Min Loan Amount,Max Loan Amount,Max Loan to Value Ration (LVR),Max LVR with Mortgage Insurance,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Split Available,Max No. of Accounts for Split,Separate Statements for Split,Statement Frequency,Fixed Option,Fee for Fixing,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee
AFG,Start Home Loan,http://www.infochoice.com.au/home-loans/afg/start-home-loan-23862/,VARIABLE,4.49,4.51,0,0,0,Basic,,Owner Occupiers Investors,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,8,30,$200000.00,$700000.00,80%,90%,TRUE,TRUE,$0,TRUE,TRUE,0%,TRUE,$0,$0,$0,Same business day,ATM EFTPOS Internet Phone,TRUE,4,TRUE,,FALSE,n/a,$0,$0,$0,$245.70,$0,$0,
AFG,Pro Pack Home Loan 70% - 90% LVR,http://www.infochoice.com.au/home-loans/afg/pro-pack-home-loan---lvr-25117/,VARIABLE,4.32,4.65,0,0,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest Interest Only,,,8,30,$150000.00,$1000000.00,80%,90%,FALSE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,FALSE,n/a,FALSE,,FALSE,n/a,$0,$0,$0,$245.70,$330.00,$0,
AMO,AMO Standard Variable Home Loan,http://www.infochoice.com.au/home-loans/amo/amo-standard-variable-home-loan-1759/,VARIABLE,5.41,5.60,0,0,5.35,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$10000.00,$2000000.00,80%,95%,TRUE,TRUE,$150.00,TRUE,TRUE,0%,TRUE,$0,$100000.00,$0,,Internet Phone,TRUE,4,TRUE,4,TRUE,$150.00,$350.00,$280.00,$300.00,$150.00,$0,$600.00,
AIMS Home Loans,Super Saver Discount Variable Home Loan,http://www.infochoice.com.au/home-loans/aims-home-loans/super-saver-discount-variable-home-loan-2331/,VARIABLE,6.598,6.55,0,0,6.01,Intro,ResidentialProperty,Owner Occupiers Investors,Principal & Interest Interest Only,Fortnightly Monthly,Revert to 7.25% after 12 months,15,30,$150000.00,$1000000.00,80%,90%,TRUE,TRUE,$990.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,,TRUE,4,TRUE,2,TRUE,n/a,$660.00,$0,$0,$0,$0,$330.00,
AMO,AMO Line of Credit,http://www.infochoice.com.au/home-loans/amo/amo-line-of-credit-2487/,VARIABLE,5.16,,0,0,0,HomeEquity,ResidentialProperty,Owner Occupiers Investors,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,10,25,$200000.00,$2000000.00,80%,95%,TRUE,TRUE,$250.00,FALSE,FALSE,0%,TRUE,$0,$100000.00,$0,,,TRUE,4,TRUE,12,FALSE,$0,$350.00,$280.00,$300.00,$200.00,$150.00,$600.00,
Adelaide Bank,Variable SmartFit Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-interest-only-52403/,VARIABLE,5.04,5.20,0,0,0,Variable,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,80%,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,TRUE,n/a,TRUE,12,FALSE,n/a,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,Variable SmartFit Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-interest-only-52402/,VARIABLE,4.54,4.70,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,80%,FALSE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet,TRUE,n/a,FALSE,12,FALSE,n/a,$325.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,Variable SmartFit,http://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-2478/,VARIABLE,4.09,4.31,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,90%,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,,Internet Phone,TRUE,n/a,TRUE,12,TRUE,$350.00,$375.00,$0,$0,$120.00,$15.00,$0,
Adelaide Bank,Variable SmartFit,http://www.infochoice.com.au/home-loans/adelaide-bank/variable-smartfit-40320/,VARIABLE,4.79,5.00,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,$10000.00,$5000000.00,80%,90%,TRUE,TRUE,$350.00,TRUE,FALSE,0%,TRUE,$500.00,$0,$0,,,TRUE,3,TRUE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$15.00,$325.00,
Arab Bank,Revolving Line of Credit,http://www.infochoice.com.au/home-loans/arab-bank/revolving-line-of-credit-1871/,VARIABLE,6.60,,0,0,0,HomeEquity,ResidentialProperty,Owner Occupiers Investors,Interest Only,Weekly Fortnightly Monthly,,1,0,$20000.00,$500000.00,80%,90%,TRUE,TRUE,$300.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,FALSE,0,FALSE,12,FALSE,$0,$0,$0,$0,$0,$0,$250.00,
