rc_id,if_id,mz_id,company,variationname,rc_value,other_value
2a645fba-7746-429a-8afa-c001bbffd5f4,392124,20254,Greater Bank,"Ultimate Fixed Home Loan 4 Years (New Customers) (NSW, ACT & QLD only)",False,FALSE
2327c2f6-1e8c-4d8a-a6a5-11e463323be0,392125,20255,Greater Bank,"Ultimate Fixed Home Loan 5 Years (New Customers) (NSW, ACT & QLD only)",False,FALSE
10ec54e9-a1b6-41ed-8a82-f21d7b65469d,343640,1648,Greater Bank,"Ultimate Variable Home Loan (New Customers) (NSW, ACT & QLD only) ",True,TRUE
9afa0d3f-264f-4aa4-8e7f-27944e135203,392071,20231,Greater Bank,"Great Rate Fixed Home Loan 1 Year (New Customers) (NSW, ACT & QLD only) ",False,FALSE
04c79855-8991-4e83-9a69-292641e2e722,392073,20233,Greater Bank,"Great Rate Fixed Home Loan 3 Years (New Customers) (NSW, ACT & QLD only) ",False,FALSE
179cfd38-6f6e-42e9-8e14-fe83e1077460,81490,777,SCU,Pro Pack Home Loan ($250k+),True,TRUE
3044fd96-6fab-4c64-b0f8-7bc6d5343f54,353910,1755,SCU,My Life Variable Rate Package ($150k-$250k),True,TRUE
05f740a5-99ec-4695-b34d-eb5ccdaf394c,353920,1760,SCU,My Life Variable Rate Package ($250k-$500k),True,TRUE
ef4e2d59-9f27-4bfc-9933-0e0c9f13c458,25113,7793,SCU,Fixed Rate Home Loan 3 Years,False,FALSE
e3eb9ab0-8fad-4b4f-ac47-79ed93a82f00,25111,7791,SCU,Fixed Rate Home Loan 1 Year,False,FALSE
66c12c16-e118-43b8-9213-f160a3ca7fd6,17400,780,SCU,Basic Variable Rate Home Loan,False,FALSE
c91d70f9-795b-43b2-8424-2701cb9f208e,428640,3336,NAB,Base Variable Investment Loan (Principal and Interest),False,FALSE
ada394bf-f0a9-42f9-a9e4-3cdb63798ca1,428972,33382,NAB,Tailored Investment Loan Fixed (Principal and Interest) 2 Years,False,FALSE
3bd85cad-7617-4152-b3f1-994e8dfb1b11,428971,33381,NAB,Tailored Investment Loan Fixed (Principal and Interest) 1 Year,False,FALSE
90370080-65a3-4951-854f-42a988253a12,428974,33384,NAB,Tailored Investment Loan Fixed (Principal and Interest) 4 Years,False,FALSE
bccb66cc-7855-4960-947a-f3605c605988,428870,3331,NAB,Tailored Investment Loan (Principal and Interest),True,TRUE
3c26565f-fcba-4aad-98ed-b463cb4f0b0f,20285,1445,NAB,Tailored Home Loan Fixed (Principal and Interest) 5 Years,False,FALSE
