rc_id,if_id,mz_id,company,variationname,rc_value,other_value
2a645fba-7746-429a-8afa-c001bbffd5f4,392124,20254,Greater Bank,"Ultimate Fixed Home Loan 4 Years (New Customers) (NSW, ACT & QLD only)",True,TRUE
2327c2f6-1e8c-4d8a-a6a5-11e463323be0,392125,20255,Greater Bank,"Ultimate Fixed Home Loan 5 Years (New Customers) (NSW, ACT & QLD only)",True,TRUE
10ec54e9-a1b6-41ed-8a82-f21d7b65469d,343640,1648,Greater Bank,"Ultimate Variable Home Loan (New Customers) (NSW, ACT & QLD only) ",True,TRUE
9afa0d3f-264f-4aa4-8e7f-27944e135203,392071,20231,Greater Bank,"Great Rate Fixed Home Loan 1 Year (New Customers) (NSW, ACT & QLD only) ",True,TRUE
04c79855-8991-4e83-9a69-292641e2e722,392073,20233,Greater Bank,"Great Rate Fixed Home Loan 3 Years (New Customers) (NSW, ACT & QLD only) ",True,TRUE
4280ce88-ee57-422b-9fc7-1a7b860694e7,355830,1775,Greater Bank,"Great Rate Variable Home Loan (New Customers) (NSW, ACT & QLD only)",True,TRUE
8bc2bb91-ad1a-43c8-b1c8-5197d12d68b4,449885,26745,Greater Bank,"Ultimate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",True,TRUE
f339844a-6dc1-4eb3-8342-e5874ff951a7,449883,26743,Greater Bank,"Ultimate Fixed Investment Loan (Principal and Interest) 3 Years (NSW, ACT & QLD only)",True,TRUE
50daa857-fc7d-41b9-9d41-26bde9e64f01,449881,26741,Greater Bank,"Ultimate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",True,TRUE
e335d8a5-fe40-4640-add8-f02a3616ef5e,286554,8394,Greater Bank,"Ultimate Fixed Home Loan 4 Years (NSW, ACT & QLD only)",True,TRUE
add7d06f-b0c1-4246-bc5c-dae8dbeb3ec3,286551,8391,Greater Bank,"Ultimate Fixed Home Loan 1 Year (NSW, ACT & QLD only)",True,TRUE
39e2c00b-47e7-4ff8-b171-7c7c1c5a60b5,286553,8393,Greater Bank,"Ultimate Fixed Home Loan 3 Years (NSW, ACT & QLD only)",True,TRUE
3d1fae5b-3222-440f-9dd4-af8b60866efb,449905,26715,Greater Bank,"Great Rate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",True,TRUE
3d34ea9b-d3bc-4936-ac77-cec4c90b7b00,449901,26711,Greater Bank,"Great Rate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",True,TRUE
5a2b1f7a-64ff-4420-8895-dea152191b3a,449902,26712,Greater Bank,"Great Rate Fixed Investment Loan (Principal and Interest) 2 Years (NSW, ACT & QLD only)",True,TRUE
6923eb75-d0eb-4611-93e5-f3b354c8c147,134261,5451,Greater Bank,"Great Rate Fixed Home Loan 1 Year (NSW, ACT & QLD only)",True,TRUE
708ba0f0-81b9-4932-b4d2-345011bb37a9,134263,5453,Greater Bank,"Great Rate Fixed Home Loan 3 Years (NSW, ACT & QLD only)",True,TRUE
67a5ea29-d7ca-4ad1-a4a3-0d685e1076c4,134265,5455,Greater Bank,"Great Rate Fixed Home Loan 5 Years (NSW, ACT & QLD only)",True,TRUE
179cfd38-6f6e-42e9-8e14-fe83e1077460,81490,777,SCU,Pro Pack Home Loan ($250k+),True,TRUE
3044fd96-6fab-4c64-b0f8-7bc6d5343f54,353910,1755,SCU,My Life Variable Rate Package ($150k-$250k),True,TRUE
05f740a5-99ec-4695-b34d-eb5ccdaf394c,353920,1760,SCU,My Life Variable Rate Package ($250k-$500k),True,TRUE
ef4e2d59-9f27-4bfc-9933-0e0c9f13c458,25113,7793,SCU,Fixed Rate Home Loan 3 Years,True,TRUE
e3eb9ab0-8fad-4b4f-ac47-79ed93a82f00,25111,7791,SCU,Fixed Rate Home Loan 1 Year,True,TRUE
66c12c16-e118-43b8-9213-f160a3ca7fd6,17400,780,SCU,Basic Variable Rate Home Loan,True,TRUE
c91d70f9-795b-43b2-8424-2701cb9f208e,428640,3336,NAB,Base Variable Investment Loan (Principal and Interest),True,TRUE
bccb66cc-7855-4960-947a-f3605c605988,428870,3331,NAB,Tailored Investment Loan (Principal and Interest),True,TRUE
33c1cb7d-e368-4871-b517-6cd88b07aa59,20270,143,NAB,Tailored Home Loan (Principal and Interest),True,TRUE
9309368c-96a5-46fc-90a8-f73d220ffaae,177210,3646,NAB,Portfolio Facility ($1m+),False,FALSE
399af2bf-f693-487e-b4cf-b8baf1cc5ae1,20290,145,NAB,Flexiplus Mortgage,False,FALSE
59da3f16-df27-428e-a1e7-af9bfdeecc8e,428750,3345,NAB,Choice Package Tailored Investment Loan (Principal and Interest) ($750k+),True,TRUE
2f679b42-8754-4c07-a4ab-1a47af4416d3,428830,3334,NAB,Choice Package Tailored Investment Loan (Interest Only) ($250k-$750k),True,TRUE
59e3a171-7aba-48bf-a1ea-a03b7637c0c5,428840,3335,NAB,Choice Package Tailored Investment Loan (Interest Only) ($750k+),True,TRUE
868bd2ea-006d-472e-ae82-95b63a193ff9,18260,411,NAB,Choice Package Tailored Home Loan (Principal and Interest) (Amounts < $250k),True,TRUE
70394b36-62c3-4f00-b5d9-3662647b1287,428800,2223,NAB,Choice Package Tailored Home Loan (Interest Only) ($750k+),True,TRUE
13462538-4706-411e-815a-c990515b74d7,428770,2220,NAB,Choice Package Tailored Home Loan (Interest Only) (Amounts < $250k),True,TRUE
d82221ec-6a54-4569-adf5-69c3fdd5f884,21340,140,NAB,Base Variable Home Loan (Principal and Interest),True,TRUE
f97225eb-29c6-421a-94fb-c3db1b01f579,17110,107,ANZ,Standard Variable Home Loan (Principal and Interest),True,TRUE
c24167c2-cb19-4b57-b233-a466b5ff1954,393907,20977,ANZ,Fixed Rate Investment Loan (Principal and Interest) 7 Years ,False,FALSE
00514b74-ef82-4223-89f5-42e8d092e6b2,393903,20973,ANZ,Fixed Rate Investment Loan (Principal and Interest) 3 Years,False,FALSE
1f2c22a0-25c7-4489-ac5b-71cb6caeb02f,393902,20972,ANZ,Fixed Rate Investment Loan (Principal and Interest) 2 Years,False,FALSE
4b6d6449-0ee7-440b-b513-dc2ca2ba782c,17133,1033,ANZ,Fixed Rate Home Loan (Principal and Interest) 3 Years,False,FALSE
2fd81051-7a8b-4330-9a94-6f85d0056fcd,171310,10310,ANZ,Fixed Rate Home Loan (Principal and Interest) 10 Years,False,FALSE
f90ad92b-2911-4c30-a524-fc4f2099bee3,17131,1031,ANZ,Fixed Rate Home Loan (Principal and Interest) 1 Year,False,FALSE
b12d144e-9064-4043-a44e-28a91e46159c,17132,1032,ANZ,Fixed Rate Home Loan (Principal and Interest) 2 Years,False,FALSE
a51dc158-d18d-4e5b-8b83-999cce3ad365,394575,18125,ANZ,Breakfree Package Fixed Rate Home Loan (Principal and Interest) 5 Years,False,FALSE
ad4c4abb-b450-489d-bb11-9936a176ea63,394574,18124,ANZ,Breakfree Package Fixed Rate Home Loan (Principal and Interest) 4 Years,False,FALSE
4a645e58-597b-4c79-874b-0dd2e01ba3e9,394577,18127,ANZ,Breakfree Package Fixed Rate Home Loan (Principal and Interest) 7 Years,False,FALSE
9ad041f4-ccc6-46e1-a35b-320970ae600f,432260,3464,Qudos Bank,Variable Rate Investment Loan (LVR < 90%),True,TRUE
2478f475-b8c5-4545-8668-3cab5d43f040,432300,3112,Qudos Bank,Low Cost Investment Loan (LVR < 80%),True,TRUE
b5ac1be6-bb24-4bee-90cd-57aef8a949ec,432250,626,Qudos Bank,Variable Rate Home Loan (LVR < 90%),True,TRUE
b47fb891-c6d5-4bcc-8417-9b9f61828bfb,200420,5011,Qudos Bank,Low Cost Home Loan (LVR 80%-90%),True,TRUE
8accfe39-0772-42c7-af23-2390fe0a516b,427022,31112,Qudos Bank,Fixed Rate Investment Loan 2 Years,False,FALSE
ed48744a-4fc0-4035-a56f-2ab461aa8e31,427023,31113,Qudos Bank,Fixed Rate Investment Loan 3 Years,False,FALSE
ade0ab88-6207-4050-bb09-98f1f8cb4a34,200335,6275,Qudos Bank,Fixed Rate Home Loan 5 Years,False,FALSE
b2abc94a-9a11-4215-8be4-8aa74be5b313,200334,6274,Qudos Bank,Fixed Rate Home Loan 4 Years,False,FALSE
36ed125a-5d40-4803-a82f-10adf9a210d2,200332,6272,Qudos Bank,Fixed Rate Home Loan 2 Years,False,FALSE
ea99bbd4-1433-4fa3-a6ce-e4e001db7eba,17290,4049,MOVE - People Driven Banking,Standard Variable Rate Investment Loan,True,TRUE
d7c5d247-66ca-493f-813e-aad92ced9964,22360,1094,MOVE - People Driven Banking,First Home Loan,True,TRUE
7cdbdf7f-3162-48b0-bb1e-b99fc7c8c7cb,516630,3029,UBank,Discount Offer for Investor Variable P&I Rate,True,TRUE
f5896b24-25bc-44de-9589-b719985ba05b,405740,5140,UBank,Discount Offer Variable Home Loan ($700k+),True,TRUE
29bca088-cf12-4f9b-b40a-4ae0ba449da3,196480,829,UBank,UHomeLoan - Standard Variable (Principal and Interest),True,TRUE
3dd93cf3-754b-4626-9969-0efdac75aab5,424011,22281,UBank,Inv UHomeLoan Fixed 1 Year,False,FALSE
1652b03f-60a7-4266-afd3-df6f2691bed0,424013,22283,UBank,Inv UHomeLoan Fixed 3 Years,False,FALSE
8fdb05c7-8f22-405e-b5bf-a7b098d57521,197673,8353,UBank,UHomeLoan Fixed (Principal and Interest) 3 Years,False,FALSE
e13e622d-ec45-4fbf-acfa-622552b056a3,528843,22263,UBank,UHomeLoan Fixed (Interest Only) 3 Years,False,FALSE
ca81f04a-77c5-4a5f-9804-449d4c06e8e2,528845,22265,UBank,UHomeLoan Fixed (Interest Only) 5 Years,False,FALSE
1274e732-43eb-47ab-8593-49a8526d10fb,403151,24941,Adelaide Bank,SmartFix Investment Loan (Principal and Interest) 1 Year,True,TRUE
02a86bc3-6711-410c-b2e7-3a94e963a1b3,403155,24945,Adelaide Bank,SmartFix Investment Loan (Principal and Interest) 5 Years,True,TRUE
0f291f0e-c1fc-482b-9bc0-78393982637c,403153,24943,Adelaide Bank,SmartFix Investment Loan (Principal and Interest) 3 Years,True,TRUE
8459b70a-42e2-467c-8675-f62321938d7e,25101,3961,Adelaide Bank,SmartFix Home Loan (Principal and Interest) 1 Year,True,TRUE
31a138cc-615c-4d91-880c-5b1b46afebfe,25105,3965,Adelaide Bank,SmartFix Home Loan (Principal and Interest) 5 Years,True,TRUE
5291e78e-add6-4e76-b142-71f4621b35ea,403200,2490,Adelaide Bank,SmartFit Investment Loan (Principal and Interest) (LVR < 90%),True,TRUE
8e66e49a-97a1-4f73-aea3-3a80065126d3,463643,38083,Bank of Sydney,Expect More Home Loan Package Fixed 3 Years,False,FALSE
5776daf9-2f5a-4bf7-b6ab-d21906dd94b3,463642,38082,Bank of Sydney,Expect More Home Loan Package Fixed 2 Years,False,FALSE
508e5ca0-738b-45a0-8741-c28ca448c164,199300,469,Bank of Sydney,Standard Variable Rate Home Loan,True,TRUE
fad80b81-6238-428a-a243-49410e2b05c0,485274,23514,Bananacoast Community Credit Union,Fixed Investment Loan (Principal and Interest) 4 Years,False,FALSE
71fe5153-3063-4de0-aeed-f74d2ccef2b7,485272,23512,Bananacoast Community Credit Union,Fixed Investment Loan (Principal and Interest) 2 Years,False,FALSE
e1c4d98f-77f4-4c51-abbe-6b8d2952ee35,485285,7415,Bananacoast Community Credit Union,Fixed Home Loan (Principal and Interest) 5 Years,False,FALSE
831337fd-8fb6-461b-a406-11dd21b9ec79,485283,7413,Bananacoast Community Credit Union,Fixed Home Loan (Principal and Interest) 3 Years,False,FALSE
c7f1635b-711c-4ea6-bc5c-6087013b66fb,485281,7411,Bananacoast Community Credit Union,Fixed Home Loan (Principal and Interest) 1 year,False,FALSE
ab18fe87-f6bd-4ed2-b0fc-2dbed1a8d8f2,21150,39,Heritage Bank,Living Equity,False,FALSE
aaf8a760-95f6-49de-8013-224658f70e9b,517980,5049,Heritage Bank,Home Advantage Variable Investment Loan (Principal and Interest) ($150k-$250k) (LVR 80%-90%) ,True,TRUE
e62977ee-eb5b-423d-b534-2bb300936a80,518000,5051,Heritage Bank,Home Advantage Variable Investment Loan (Principal and Interest) ($700k+) (LVR 80%-90%) ,True,TRUE
71b8bfc5-2b83-48eb-9802-41aa984ea66c,388620,1910,Heritage Bank,Home Advantage Variable Home Loan ($700k+) (LVR<80%),True,TRUE
