rc_id,if_id,mz_id,company,variationname,rc_value,other_value
b27bad32-b625-48ab-a8a4-409b4e546e95,414550,4180,AMP Bank,Professional Package Investment Loan (Interest Only) ($250k-$750k),0,295
f4fba860-0e39-4cd8-bbce-b1c87271ece5,414540,4179,AMP Bank,Professional Package Investment Loan (Interest Only) ($100k-$250k),0,295
d7138108-e359-4a99-865e-fd6dd947e034,20331,41841,AMP Bank,Professional Package Home Loan Fixed (Interest Only) 1 Year,0,295
02a27149-ab84-42c5-969d-9e1838cad5f7,20335,41845,AMP Bank,Professional Package Home Loan Fixed (Interest Only) 5 Years,0,295
d59a4b0e-effb-4c6c-b0a2-a4c1f0a32430,20930,4176,AMP Bank,Professional Package Home Loan (Interest Only) ($100k-$250k),0,295
ae8665b7-7844-4575-92d9-34b052125754,394630,2936,AMP Bank,Professional Package Line of Credit Investment Loan ($750k+),0,295
b0e20634-ae8c-4c26-9adb-1ac61b50f1db,19840,2104,AMP Bank,Professional Package Line of Credit Home Loan ($250k-$750k),0,295
0f350e8c-224e-47cd-932c-d7a1b2521db1,394620,1759,AMP Bank,Professional Package Line of Credit Home Loan ($750k+),0,295
439f04c6-7172-447c-a87c-fae8f0a55ac6,484500,2925,AMP Bank,Professional Package Investment Loan (Principal and Interest) ($250k-$750k),0,295
e4cd8f4d-6487-408d-b365-66d844fe6737,484481,741,AMP Bank,Professional Package Home Loan Fixed (Principal and Interest) 1 Year,0,295
cd666b23-1cee-4411-a28e-6db20b005a7b,484485,745,AMP Bank,Professional Package Home Loan Fixed (Principal and Interest) 5 Years,0,295
72b1719c-66f9-4108-a37b-51839d19c0a4,484530,2103,AMP Bank,Professional Package Home Loan (Principal and Interest) ($500k-$750k),0,295
300eb9e4-0779-4173-8713-03d9b3f6afc0,484520,66,AMP Bank,Professional Package Home Loan (Principal and Interest) ($100k-$250k),0,295
f9304809-60b0-41c1-be46-d5baf78e2be7,389970,1974,Aussie,"Select Standard Variable Investment Loan (Principal and Interest) ($500k+, LVR 80%-90%)",0,330
9a35a64e-ac7a-488e-931f-07b568d9a3b4,359230,1528,Aussie,"Select Standard Variable Home Loan (Principal and Interest) ($500k+, LVR 80%-90%)",0,330
359dc808-594c-4c99-b482-d74ad05dd932,390135,22805,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 5 Years,0,330
81ff5c3a-e1f7-4792-a1ae-fef92d540cfe,390132,22802,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 2 Years,0,330
1358efd7-d4e2-4125-9fd7-54676155628d,390133,22803,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 3 Years,0,330
cad874ce-d3dd-49a6-9c98-a28ceb98ba29,238995,15405,Aussie,Select Standard Home Loan Fixed (Principal and Interest) 5 Years,0,330
946ff986-ef8f-4e36-b60f-1bb4b546e417,238991,15401,Aussie,Select Standard Home Loan Fixed (Principal and Interest) 1 Year,0,330
77d16920-052b-4bb5-b859-c3fedf6a4469,359440,3970,Aussie,Select Line of Credit Home Loan (LVR 80%-90%),0,330
8674bd70-f876-45cb-b765-792e92aa7485,389480,1966,Aussie,"Select Basic Investment Loan (Principal and Interest) ($500k+, LVR 80%-90%)",0,330
a9d97b65-cd41-48b9-8682-732769c2e23b,358220,1529,Aussie,"Select Basic Home Loan (Principal and Interest) ($500k+, LVR 80%-90%)",0,330
9f51254a-413c-4e4c-a220-b6f154fbedcd,390114,22794,Aussie,Select Basic Investment Loan Fixed (Principal and Interest) 4 Years,0,330
52a24eeb-01fc-4e2f-b62f-408ab1ba609e,390115,22795,Aussie,Select Basic Investment Loan Fixed (Principal and Interest) 5 Years,0,330
8b5805f9-43b7-4b4e-9d37-3ae69c2b53b1,390111,22791,Aussie,Select Basic Investment Loan Fixed (Principal and Interest) 1 Year,0,330
d550141e-6a75-4a7b-a4de-eaf0474af53d,237812,28522,Aussie,Select Basic Home Loan Fixed (Principal and Interest) 2 Years (LVR 80%-95%),0,330
62185922-e408-4511-9dec-907293c70436,237811,28521,Aussie,Select Basic Home Loan Fixed (Principal and Interest) 1 Year (LVR 80%-95%),0,330
319b0d8d-cd58-44fe-a700-245049891c67,511990,4665,Aussie,IQ Basic Investment Loan (Principal and Interest) (LVR < 70%),0,363
d79ee1b9-7370-4e05-810e-4dae02b35ab3,512050,4664,Aussie,IQ Basic Investment Loan (Interest Only) (LVR < 70%),0,363
af70c878-0409-48bc-b5bc-44ee55722a6b,512000,4662,Aussie,IQ Basic Home Loan (Principal and Interest) (LVR < 70%),0,363
26ccde3d-1fe7-4b1c-864a-d4f09e28e6cd,344240,595,Aussie,IQ Basic Home Loan (Principal and Interest) (LVR 80%-90%),0,363
7d6ce282-d759-434d-bc3e-1844aa5f8db4,512010,1801,Aussie,IQ Basic Home Loan (Interest Only) (LVR < 70%),0,363
0ff6b50f-8d84-4256-835f-3a569f3ecdbe,160210,1961,Aussie,IQ Offset Investment Loan (Principal and Interest) (LVR 80%-90%),0,363
d2f29260-7110-4523-a5be-eae98cbc186b,160200,2164,Aussie,IQ Offset Investment Loan (Principal and Interest) (LVR 70%-80%),0,363
0819e589-c38d-415f-8741-75d2ddd5ed13,399250,2710,Aussie,IQ Offset Investment Loan (Interest Only) (LVR 70%-80%) ,0,363
cdf84ec2-d264-4090-9eae-f4b42d035ca4,358130,1805,Aussie,IQ Offset Home Loan (Principal and Interest) (LVR 90%-95%),0,363
74df4044-d7d2-4e0a-b0c3-2bf85ae22480,511910,4659,Aussie,IQ Offset Home Loan (Principal and Interest) (LVR < 70%),0,363
8d890665-95e5-409b-9415-d3d65a14165e,358120,4842,Aussie,IQ Offset Home Loan (Interest Only) (LVR 70%-80%),0,363
d3a94618-b82f-4fa9-ab18-09e4804878c5,514503,22813,Aussie,IQ Offset Investment Loan Fixed (Principal and Interest) 3 Years (LVR < 70%),0,363
6fa0b509-1f57-4afd-a746-5035719b177b,514504,22814,Aussie,IQ Offset Investment Loan Fixed (Principal and Interest) 4 Years (LVR < 70%),0,363
1457dc8f-4fc8-4b65-8bbf-13a6a33d7164,514513,27153,Aussie,IQ Offset Investment Loan Fixed (Interest Only) 3 Years (LVR < 70%),0,363
51b3b6d8-2253-450d-923f-3782948552a0,516195,50045,Aussie,IQ Offset Investment Loan Fixed (Interest Only) 5 Years (LVR 70%-80%),0,363
3b53c350-c5db-4990-abd4-23f60d77268e,516191,50041,Aussie,IQ Offset Investment Loan Fixed (Interest Only) 1 Year (LVR 70%-80%),0,363
c09e6925-b718-455f-95d6-998945bee9cb,514512,27152,Aussie,IQ Offset Investment Loan Fixed (Interest Only) 2 Years (LVR < 70%),0,363
9198cabc-9964-4cd3-b63b-bfab41fc0f22,514515,27155,Aussie,IQ Offset Investment Loan Fixed (Interest Only) 5 Years (LVR < 70%),0,363
aa51e1fe-c909-4c41-b879-c83c3e7dbc16,516252,50022,Aussie,IQ Offset Home Loan Fixed (Principal and Interest) 2 Years (LVR 80%-95%),0,363
273e2afe-3aff-493e-8da4-18b24c953a71,516255,50025,Aussie,IQ Offset Home Loan Fixed (Principal and Interest) 5 Years (LVR 80%-95%),0,363
41d556db-9da4-4899-a90d-465b658a8964,516253,50023,Aussie,IQ Offset Home Loan Fixed (Principal and Interest) 3 Years (LVR 80%-95%),0,363
41293459-bb40-4006-a09c-152f4f360660,516242,50032,Aussie,IQ Offset Home Loan Fixed (Interest Only) 2 Years (LVR 70%-80%),0,363
55e2b08c-0e09-4502-80fd-34068ff2b49d,516241,50031,Aussie,IQ Offset Home Loan Fixed (Interest Only) 1 Year (LVR 70%-80%),0,363
b65f224c-276c-4fb5-94c5-adcb14c7f006,514493,30433,Aussie,IQ Offset Home Loan Fixed (Interest Only) 3 Years (LVR < 70%),0,363
f02b5736-2aa9-4987-ba43-a6fb10a896bb,516153,50013,Aussie,IQ Basic Investment Loan Fixed (Interest Only) 3 Years (LVR 70%-80%),0,363
13705bec-0f58-48a5-a922-7d971f73016d,516154,50014,Aussie,IQ Basic Investment Loan Fixed (Interest Only) 4 Years (LVR 70%-80%),0,363
842cc8bc-8c73-4644-b80a-c27dbd88c59e,516151,50011,Aussie,IQ Basic Investment Loan Fixed (Interest Only) 1 Year (LVR 70%-80%),0,363
3c22700d-5611-410c-aeb5-f97269b934e6,406502,27052,Aussie,IQ Basic Investment Loan Fixed (Interest Only) 2 Years (LVR < 70%),0,363
a4c3fd23-c34e-46f0-a81b-faa919a93b73,406504,27054,Aussie,IQ Basic Investment Loan Fixed (Interest Only) 4 Years (LVR < 70%),0,363
c9e889e8-aaa0-4913-86b5-22b99fc44b5b,516183,49983,Aussie,IQ Basic Home Loan Fixed (Principal and Interest) 3 Years (LVR 80%-95%),0,363
a574a587-2e4e-4f40-881a-4d31b2cda0db,516184,49984,Aussie,IQ Basic Home Loan Fixed (Principal and Interest) 4 Years (LVR 80%-95%),0,363
37a615a3-3315-4563-b71c-992a33ddaaf2,516174,49994,Aussie,IQ Basic Home Loan Fixed (Interest Only) 4 Years (LVR 70%-80%),0,363
dab13f78-b159-447f-b32c-cb8b4aa4541c,516175,49995,Aussie,IQ Basic Home Loan Fixed (Interest Only) 5 Years (LVR 70%-80%),0,363
dcd326da-0ac9-4583-ac82-266582c9f3c1,406493,27043,Aussie,IQ Basic Home Loan Fixed (Interest Only) 3 Years (LVR < 70%),0,363
055982bb-5c35-4521-adc7-3ac840d6b1e9,406491,27041,Aussie,IQ Basic Home Loan Fixed (Interest Only) 1 Year (LVR < 70%),0,363
dd2ddc2c-3857-46d8-ac7c-13f9daa71c80,406492,27042,Aussie,IQ Basic Home Loan Fixed (Interest Only) 2 Years (LVR < 70%),0,363
22baeaba-4f87-40a9-b8a6-4a889525497d,451503,22503,Bank of Queensland,Standard Fixed Rate Investment Loan (New Customer) 3 Years,350,0
2a04d443-7cd7-4e8d-a88e-790470f4cbfa,17010,42,Bank of Queensland,Standard Variable Rate Home Loan (Principal and Interest),350,0
7b3cbff5-f99e-466f-a401-a3222bc22949,397265,22525,Bank of Queensland,Standard Fixed Rate Investment Loan (Principal and Interest) 5 Years,350,0
80543fd1-6cdd-4d97-86e7-465197c4ef9e,397263,22523,Bank of Queensland,Standard Fixed Rate Investment Loan (Principal and Interest) 3 Years,350,0
48c096a5-6d95-4a5a-a047-29fc8a1ea863,437543,18613,Bank of Queensland,Standard Fixed Rate Home Loan (New Customer) 3 Years,350,0
b171b240-2f50-467d-a33c-c3f0d28f6e55,20781,441,Bank of Queensland,Standard Fixed Rate Home Loan (Principal and Interest) 1 Year,350,0
d3cf75ad-bef5-4ad6-9951-2980bcd40079,20784,444,Bank of Queensland,Standard Fixed Rate Home Loan (Principal and Interest) 4 Years,350,0
3154416e-abcf-46a8-a743-de81a982a914,428150,3203,Bank of Queensland,Line of Credit Investment Loan,350,0
d06ae262-63a2-497b-bd19-917f095627a8,397240,2245,Bank of Queensland,Economy Investment Loan (Principal and Interest),350,0
498f9623-bf3e-40be-a1c9-edcb45722755,402990,3004,Bank of Queensland,Clear Path Variable Rate Investment Loan (Principal and Interest),350,0
7c11b437-bd08-4a7a-b064-12dfb5e82392,423120,1396,Bank of Queensland,Clear Path Line of Credit Investment Loan,350,0
77c4264d-31fd-46d9-a50d-9746a6dd2dbc,417863,27793,Illawarra Credit Union,Fixed Investment Loan (Principal and Interest) 3 Years,0,365
953034e4-0b91-4c69-a78e-48117661ea53,417861,27791,Illawarra Credit Union,Fixed Investment Loan (Principal and Interest) 1 Year,0,365
f1a0b9cd-8d8e-4a82-b7cd-ac470bd5a78d,312430,791,QBANK,Mortgage Secured Overdraft,456,0
20e309cd-3215-45be-a4c7-157f16888f40,312344,7904,QBANK,Fixed Rate Home Loan 4 Years (QLD only),456,0
93d9a1f2-f832-4322-a9a7-cf713d3f5e91,312343,7903,QBANK,Fixed Rate Home Loan 3 Years (QLD only),456,0
a9020ec9-4079-4035-8ec2-2576be35cd96,312360,1845,QBANK,Classic Home Loan Special Offer (QLD only) (New Customer) (LVR < 80%),456,0
9719f961-e484-42cc-ac61-fd6b8052f58b,433520,792,QBANK,Classic Home Loan (QLD only),456,0
a7150057-2943-4610-9a73-6618e1848cc4,507150,4544,Bank of Queensland,Clear Path Variable Rate Home Loan (Interest Only),350,0
8edc1ca5-4e6b-47bb-9057-a7ad4f2e1cb4,507160,4545,Bank of Queensland,Clear Path Variable Rate Investment Loan (Interest Only),350,0
237a8ccd-7d09-4ba5-b996-eb350b59067e,507200,4546,Bank of Queensland,First-Start Home Loan (Interest Only),350,0
aef9fb71-aea9-44f9-aea6-a9955b814c70,507221,45561,Bank of Queensland,Standard Fixed Rate Investment Loan (Interest Only) 1 Year,350,0
81fadd22-7ec9-4d2c-81bd-26abfc364b7f,507223,45563,Bank of Queensland,Standard Fixed Rate Investment Loan (Interest Only) 3 Years,350,0
e203e36a-b981-49a0-8535-0e48151ad558,507225,45565,Bank of Queensland,Standard Fixed Rate Investment Loan (Interest Only) 5 Years,350,0
cfb8f97d-4fd3-4c99-8881-073af9ba0634,523330,5173,Bank of Queensland,Economy Investment Loan (Interest Only),350,0
cea205ad-4246-4049-a896-5499b2c14c4e,131450,543,Greater Bank,"Line of Credit (NSW, ACT & QLD only)",0,95
730f4a5a-bcd5-4998-bb4b-0e8186b8472c,343480,4181,AMP Bank,Professional Package Investment Loan (Interest Only) ($750k+),0,295
98c1cab6-c550-41cc-8f74-8f98c35d7e16,20333,41843,AMP Bank,Professional Package Home Loan Fixed (Interest Only) 3 Years,0,295
4b405b74-1be0-4ce4-8d69-30711b9e2025,20332,41842,AMP Bank,Professional Package Home Loan Fixed (Interest Only) 2 Years,0,295
7494a832-eb12-42ce-8c75-e367037e0142,394600,4178,AMP Bank,Professional Package Home Loan (Interest Only) ($750k+),0,295
42d6a1bf-fee7-46c1-8b3a-a1945109a719,414730,2933,AMP Bank,Professional Package Line of Credit Investment Loan ($250k-$750k),0,295
f9f50d00-1ad3-42cd-a425-b33644f2408a,414590,2935,AMP Bank,Professional Package Line of Credit Investment Loan ($100k-$250k),0,295
7408e332-2d28-4e69-9d6d-176cda80d147,24200,69,AMP Bank,Professional Package Line of Credit Home Loan ($100k-$250k),0,295
26446021-61be-40d0-96ec-9c9d357831fe,484510,2928,AMP Bank,Professional Package Investment Loan (Principal and Interest) ($750k+),0,295
