rc_id,if_id,mz_id,company,variationname,rc_value,other_value
e704a137-c7dd-4fc9-ac9d-23b0024617c7,427894,42534,Bendigo & Adelaide Bank,Connect Package Investment Loan Fixed 4 Years (Principal and Interest),4.64,4.74
008e50da-215f-40b5-b2e5-630eb908eac0,20622,1302,Commonwealth Bank of Australia,Fixed Rate Home Loan 2 Years,4.04,4.14
b3fbae05-7783-411d-8bef-f34c52f66f4c,405143,25383,People's Choice Credit Union,Package Fixed Investment Loan (Principal and Interest) 3 Years,4.24,4.34
3466e13b-6c89-4fe1-8658-98c0b8c7844b,405123,24893,People's Choice Credit Union,Fixed Rate Investment Loan (Principal and Interest) 3 Years,4.39,4.49
3cb85a0f-106b-4b78-b8d1-9c5673290cc7,405121,24891,People's Choice Credit Union,Fixed Rate Investment Loan (Principal and Interest) 1 Year ,4.49,4.69
a66b875b-23c3-4d39-b411-1076ddf1888d,428851,33481,NAB,Choice Package Tailored Investment Loan Fixed (Principal and Interest) 1 Year,4.09,4.29
7033a2b0-c18b-4d1e-9134-c7f2ae951958,208525,18415,NAB,Choice Package Tailored Home Loan Fixed (Principal and Interest) 5 Years,4.09,4.59
72f87824-ff47-43b8-8d35-f9fdb9bfdcca,427895,42535,Bendigo & Adelaide Bank,Connect Package Investment Loan Fixed 5 Years (Principal and Interest),4.74,4.64
62b9384c-a60c-4681-933f-80c38e31d5e1,402850,2423,Gateway Bank,Premium Package Investment Loan (LVR < 80%),4.19,4.28
40c058f9-b75c-412d-ba79-209592d47e64,405141,25381,People's Choice Credit Union,Package Fixed Investment Loan (Principal and Interest) 1 Year,4.34,4.54
3e64f76e-cada-47e6-bcd5-477f097f6f33,405142,25382,People's Choice Credit Union,Package Fixed Investment Loan (Principal and Interest) 2 Years,4.19,4.29
7899961a-9313-4951-b4f0-a3dd94825616,405122,24892,People's Choice Credit Union,Fixed Rate Investment Loan (Principal and Interest) 2 Years,4.34,4.44
644b811a-e3a4-47f7-8283-c8350982f6ae,499420,4565,MOVE - People Driven Banking,Straightforward Home Loan,3.59,3.83
035957ed-2cf5-4b71-aec4-0646f6b3edeb,512820,4905,State Custodians,Low Rate Home Loan with Offset (Interest Only) (LVR < 80%),3.79,4.09
8d52b028-dac2-4998-bafa-7094f9d2f9d5,512900,4909,State Custodians,Low Rate Investment Loan with Offset (Interest Only) (LVR 80%-90%),4.24,4.59
