rc_id,if_id,mz_id,company,variationname,rc_value,other_value
10ec54e9-a1b6-41ed-8a82-f21d7b65469d,343640,1648,Greater Bank,"Ultimate Variable Home Loan (New Customers) (NSW, ACT & QLD only) ",3.74,0
4280ce88-ee57-422b-9fc7-1a7b860694e7,355830,1775,Greater Bank,"Great Rate Variable Home Loan (New Customers) (NSW, ACT & QLD only)",3.74,0
179cfd38-6f6e-42e9-8e14-fe83e1077460,81490,777,SCU,Pro Pack Home Loan ($250k+),4.4,0
3044fd96-6fab-4c64-b0f8-7bc6d5343f54,353910,1755,SCU,My Life Variable Rate Package ($150k-$250k),4.07,0
05f740a5-99ec-4695-b34d-eb5ccdaf394c,353920,1760,SCU,My Life Variable Rate Package ($250k-$500k),3.97,0
66c12c16-e118-43b8-9213-f160a3ca7fd6,17400,780,SCU,Basic Variable Rate Home Loan,3.77,0
c91d70f9-795b-43b2-8424-2701cb9f208e,428640,3336,NAB,Base Variable Investment Loan (Principal and Interest),4.65,0
bccb66cc-7855-4960-947a-f3605c605988,428870,3331,NAB,Tailored Investment Loan (Principal and Interest),5.8,0
7efdbc22-75f8-42a5-9ccf-7597af634a8b,20281,1441,NAB,Tailored Home Loan Fixed (Principal and Interest) 1 Year,5.24,0
33c1cb7d-e368-4871-b517-6cd88b07aa59,20270,143,NAB,Tailored Home Loan (Principal and Interest),5.24,0
9309368c-96a5-46fc-90a8-f73d220ffaae,177210,3646,NAB,Portfolio Facility ($1m+),5.66,0
399af2bf-f693-487e-b4cf-b8baf1cc5ae1,20290,145,NAB,Flexiplus Mortgage,6.44,0
59da3f16-df27-428e-a1e7-af9bfdeecc8e,428750,3345,NAB,Choice Package Tailored Investment Loan (Principal and Interest) ($750k+),4.9,0
2f679b42-8754-4c07-a4ab-1a47af4416d3,428830,3334,NAB,Choice Package Tailored Investment Loan (Interest Only) ($250k-$750k),5.4,0
59e3a171-7aba-48bf-a1ea-a03b7637c0c5,428840,3335,NAB,Choice Package Tailored Investment Loan (Interest Only) ($750k+),5.35,0
868bd2ea-006d-472e-ae82-95b63a193ff9,18260,411,NAB,Choice Package Tailored Home Loan (Principal and Interest) (Amounts < $250k),4.64,0
70394b36-62c3-4f00-b5d9-3662647b1287,428800,2223,NAB,Choice Package Tailored Home Loan (Interest Only) ($750k+),4.87,0
