rc_id,if_id,mz_id,company,variationname,rc_value,other_value
f97225eb-29c6-421a-94fb-c3db1b01f579,17110,107,ANZ,Standard Variable Home Loan (Principal and Interest),160,0
c24167c2-cb19-4b57-b233-a466b5ff1954,393907,20977,ANZ,Fixed Rate Investment Loan (Principal and Interest) 7 Years ,160,0
00514b74-ef82-4223-89f5-42e8d092e6b2,393903,20973,ANZ,Fixed Rate Investment Loan (Principal and Interest) 3 Years,160,0
1f2c22a0-25c7-4489-ac5b-71cb6caeb02f,393902,20972,ANZ,Fixed Rate Investment Loan (Principal and Interest) 2 Years,160,0
4b6d6449-0ee7-440b-b513-dc2ca2ba782c,17133,1033,ANZ,Fixed Rate Home Loan (Principal and Interest) 3 Years,160,0
2fd81051-7a8b-4330-9a94-6f85d0056fcd,171310,10310,ANZ,Fixed Rate Home Loan (Principal and Interest) 10 Years,160,0
f90ad92b-2911-4c30-a524-fc4f2099bee3,17131,1031,ANZ,Fixed Rate Home Loan (Principal and Interest) 1 Year,160,0
b12d144e-9064-4043-a44e-28a91e46159c,17132,1032,ANZ,Fixed Rate Home Loan (Principal and Interest) 2 Years,160,0
f9304809-60b0-41c1-be46-d5baf78e2be7,389970,1974,Aussie,"Select Standard Variable Investment Loan (Principal and Interest) ($500k+, LVR 80%-90%)",330,0
9a35a64e-ac7a-488e-931f-07b568d9a3b4,359230,1528,Aussie,"Select Standard Variable Home Loan (Principal and Interest) ($500k+, LVR 80%-90%)",330,0
359dc808-594c-4c99-b482-d74ad05dd932,390135,22805,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 5 Years,330,0
81ff5c3a-e1f7-4792-a1ae-fef92d540cfe,390132,22802,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 2 Years,330,0
1358efd7-d4e2-4125-9fd7-54676155628d,390133,22803,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 3 Years,330,0
cad874ce-d3dd-49a6-9c98-a28ceb98ba29,238995,15405,Aussie,Select Standard Home Loan Fixed (Principal and Interest) 5 Years,330,0
946ff986-ef8f-4e36-b60f-1bb4b546e417,238991,15401,Aussie,Select Standard Home Loan Fixed (Principal and Interest) 1 Year,330,0
1d7d08fd-f2be-4921-9977-ed03088f341e,389520,3973,Aussie,Select Line of Credit Investment Loan (LVR < 80%),330,0
77d16920-052b-4bb5-b859-c3fedf6a4469,359440,3970,Aussie,Select Line of Credit Home Loan (LVR 80%-90%),330,0
8674bd70-f876-45cb-b765-792e92aa7485,389480,1966,Aussie,"Select Basic Investment Loan (Principal and Interest) ($500k+, LVR 80%-90%)",330,0
a9d97b65-cd41-48b9-8682-732769c2e23b,358220,1529,Aussie,"Select Basic Home Loan (Principal and Interest) ($500k+, LVR 80%-90%)",330,0
eab1c0e9-c179-4efb-a851-0fc8807a92dc,358250,1531,Aussie,"Select Basic Home Loan (Principal and Interest) ($500k+, LVR 90%-95%)",330,0
9f51254a-413c-4e4c-a220-b6f154fbedcd,390114,22794,Aussie,Select Basic Investment Loan Fixed (Principal and Interest) 4 Years,330,0
52a24eeb-01fc-4e2f-b62f-408ab1ba609e,390115,22795,Aussie,Select Basic Investment Loan Fixed (Principal and Interest) 5 Years,330,0
8b5805f9-43b7-4b4e-9d37-3ae69c2b53b1,390111,22791,Aussie,Select Basic Investment Loan Fixed (Principal and Interest) 1 Year,330,0
d550141e-6a75-4a7b-a4de-eaf0474af53d,237812,28522,Aussie,Select Basic Home Loan Fixed (Principal and Interest) 2 Years (LVR 80%-95%),330,0
62185922-e408-4511-9dec-907293c70436,237811,28521,Aussie,Select Basic Home Loan Fixed (Principal and Interest) 1 Year (LVR 80%-95%),330,0
319b0d8d-cd58-44fe-a700-245049891c67,511990,4665,Aussie,IQ Basic Investment Loan (Principal and Interest) (LVR < 70%),363,0
