rc_id,if_id,mz_id,company,variationname,rc_value,other_value
f97225eb-29c6-421a-94fb-c3db1b01f579,17110,107,ANZ,Standard Variable Home Loan (Principal and Interest),150,0
c24167c2-cb19-4b57-b233-a466b5ff1954,393907,20977,ANZ,Fixed Rate Investment Loan (Principal and Interest) 7 Years ,150,0
00514b74-ef82-4223-89f5-42e8d092e6b2,393903,20973,ANZ,Fixed Rate Investment Loan (Principal and Interest) 3 Years,150,0
1f2c22a0-25c7-4489-ac5b-71cb6caeb02f,393902,20972,ANZ,Fixed Rate Investment Loan (Principal and Interest) 2 Years,150,0
4b6d6449-0ee7-440b-b513-dc2ca2ba782c,17133,1033,ANZ,Fixed Rate Home Loan (Principal and Interest) 3 Years,150,0
2fd81051-7a8b-4330-9a94-6f85d0056fcd,171310,10310,ANZ,Fixed Rate Home Loan (Principal and Interest) 10 Years,150,0
f90ad92b-2911-4c30-a524-fc4f2099bee3,17131,1031,ANZ,Fixed Rate Home Loan (Principal and Interest) 1 Year,150,0
b12d144e-9064-4043-a44e-28a91e46159c,17132,1032,ANZ,Fixed Rate Home Loan (Principal and Interest) 2 Years,150,0
31fb48c3-e55e-4436-abdd-f5f954a39384,490433,39353,Bank of Melbourne,Fixed Rate Investment Loan (Interest Only) 3 Years,164,0
b3b7bbbd-3d1b-4741-ad94-58249ca3ff6c,490435,39355,Bank of Melbourne,Fixed Rate Investment Loan (Interest Only) 5 Years,164,0
bff21db3-55ed-4807-a84f-913473980982,490412,39342,Bank of Melbourne,Fixed Rate Home Loan (Interest Only) 2 Years,164,0
aa2300ef-8032-40f8-ac73-9c2784f40f46,490411,39341,Bank of Melbourne,Fixed Rate Home Loan (Interest Only) 1 Year,164,0
27166f14-edce-4822-b42c-9fca415bd101,490414,39344,Bank of Melbourne,Fixed Rate Home Loan (Interest Only) 4 Years,164,0
03a48949-4e4f-48c2-8ddc-c3d04dfd9ce1,219610,943,Bank of Melbourne,Standard Variable Home Loan (Principal and Interest),164,0
698dee9b-333b-4c35-8548-13df0f11bfe5,211454,20124,Bank of Melbourne,Fixed Rate Investment Loan (Principal and Interest) 4 Years,164,0
87c964d3-ea65-4bfc-8761-7bb55dede289,211455,20125,Bank of Melbourne,Fixed Rate Investment Loan (Principal and Interest) 5 Years,164,0
12d07344-3b0c-4b1c-9ced-b70b5d222517,443760,3648,Bank of Melbourne,Basic Investment Loan (Principal and Interest),164,0
