Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan to Value Ration (LVR),Max Loan Term,Max LVR with Mortgage Insurance,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.17%,25101,4.67%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.35%,25102,4.68%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.48%,25103,4.70%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.60%,25104,4.74%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,,
Adelaide Bank,SmartFix,https://www.infochoice.com.au/home-loans/adelaide-bank/smartfix-2510,FIXED,4.70%,25105,4.79%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$10000.00,$5000000.00,TRUE,TRUE,$350.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,, Internet Phone,,$375.00,$0,$0,$120.00,$15.00,$0,,
AFG,Pro Pack Home Loan 70% - 90% LVR,https://www.infochoice.com.au/home-loans/afg/pro-pack-home-loan---lvr-25117,VARIABLE,4.32,251170,4.65,0,0,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,,,8,80%,30,90%,$150000.00,$1000000.00,FALSE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$0,$0,$0,$245.70,$330.00,$0,,
Beyond Bank,Bridging Home Loan,https://www.infochoice.com.au/home-loans/beyond-bank/bridging-home-loan-5520,VARIABLE,5.10,55200,5.14,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,,,1,75%,1,95%,$10000.00,$2000000.00,TRUE,FALSE,$0,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,,$445.00,$0,$0,$150.00,$0,$0,,
Community First Credit Union,Accelerator Home Loan Balances <$250000,https://www.infochoice.com.au/home-loans/community-first-credit-union/accelerator-home-loan-balances--5530,VARIABLE,3.69,55300,4.09,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,5,80%,30,95%,$100000.00,$250000.00,TRUE,TRUE,$250.00,TRUE,TRUE,0%,TRUE,$0,$0,$15.00,n/a,Internet,,$600.00,$390.00,$0,$0,$395.00,$300.00,,
Commonwealth Bank,1 Year Guaranteed Rate (IO) ,https://www.infochoice.com.au/home-loans/commonwealth-bank/-year-guaranteed-rate-48966,VARIABLE,5.22,489660,5.28,0,0,4.39,Intro,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,30,95%,$10000.00,$10000000.00,TRUE,TRUE,$300.00,TRUE,TRUE,0%,TRUE,$2000.00,$0,$5.00,,,,$600.00,$0,$0,$0,$8.00,$350.00,,
Collins Home Loans,Standard Variable,https://www.infochoice.com.au/home-loans/collins-home-loans/standard-variable-8658,FIXED,6.14%,86581,6.37%,1 Year,5.07,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,10,0%,30,95%,$150000.00,$1000000.00,TRUE,TRUE,$300.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,Internet,,$600.00,$0,$0,$100.00,$345.00,$350.00,,
Collins Home Loans,Standard Variable,https://www.infochoice.com.au/home-loans/collins-home-loans/standard-variable-8658,FIXED,6.14%,86583,6.37%,3 Year,5.07,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,10,0%,30,95%,$150000.00,$1000000.00,TRUE,TRUE,$300.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,Internet,,$600.00,$0,$0,$100.00,$345.00,$350.00,,
Collins Home Loans,Standard Variable,https://www.infochoice.com.au/home-loans/collins-home-loans/standard-variable-8658,FIXED,6.74%,86585,6.82%,5 Year,5.07,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,10,0%,30,95%,$150000.00,$1000000.00,TRUE,TRUE,$300.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,24 Hours,Internet,,$600.00,$0,$0,$100.00,$345.00,$350.00,,
Citi,Basic Mortgage <=80% LVR INV,https://www.infochoice.com.au/home-loans/citi/basic-mortgage--lvr-inv-40677,VARIABLE,4.71,406770,4.76,0,0,0,Basic,ResidentialProperty,Investors,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,0,80%,30,90%,$250000.00,$4000000.00,TRUE,TRUE,$450.00,FALSE,FALSE,0%,TRUE,$0,$0,$0,,Internet,,$399.00,$0,$0,$250.00,$0,$350.00,,
Catalyst Money,Fixed Rate Home Loan IO,https://www.infochoice.com.au/home-loans/catalyst-money/fixed-rate-home-loan-io-51561,FIXED,4.35%,515611,4.48%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,25,95%,$250000.00,$3000000.00,TRUE,TRUE,$600.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$210.00,$365.00,$242.00,$250.00,$0,$0,At economi,
Catalyst Money,Fixed Rate Home Loan IO,https://www.infochoice.com.au/home-loans/catalyst-money/fixed-rate-home-loan-io-51561,FIXED,4.40%,515612,4.48%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,25,95%,$250000.00,$3000000.00,TRUE,TRUE,$600.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$210.00,$365.00,$242.00,$250.00,$0,$0,At economi,
Catalyst Money,Fixed Rate Home Loan IO,https://www.infochoice.com.au/home-loans/catalyst-money/fixed-rate-home-loan-io-51561,FIXED,4.65%,515613,4.54%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,25,95%,$250000.00,$3000000.00,TRUE,TRUE,$600.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$210.00,$365.00,$242.00,$250.00,$0,$0,At economi,
Catalyst Money,Fixed Rate Home Loan IO,https://www.infochoice.com.au/home-loans/catalyst-money/fixed-rate-home-loan-io-51561,FIXED,4.99%,515615,4.72%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,1,80%,25,95%,$250000.00,$3000000.00,TRUE,TRUE,$600.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,,,$210.00,$365.00,$242.00,$250.00,$0,$0,At economi,
Cairns Penny Savings and Loans,Home Loan,https://www.infochoice.com.au/home-loans/cairns-penny-savings-and-loans/home-loan-2237,VARIABLE,4.95,22370,5.14,0,0,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,1,80%,30,95%,$10000.00,$1000000.00,TRUE,TRUE,$200.00,TRUE,TRUE,0%,TRUE,$500.00,$0,$0,24 Hours,Branch,,$200.00,$440.00,$242.00,$0,$12.50,$0,Not applicable.,
