firstdayeachmonth,is monetised,Annualised Monthly Ongoing Fee,Average Annual Fee,Rates Owner-occupied,Company Name + Variation Name,Loan 350k 5% Deposit,Loan 350k 10% Deposit,Loan 350k 30% Deposit ,Loan 350k 20% Deposit,LVR 05% Deposit,LVR 10% Deposit,LVR 30% Deposit,Loan Deposit Parameters,Rates Investor,Rate at 300k,LVR 20% Deposit,Rate at 500k,Rate at 350k,Rate at 750k,allowssplitloan,annualfees,applicationfee,applicationfees,collectiondate,companyname,comparisonrate,dischargefee,extrarepaymentsallowed,extrarepaymentsvalue,familyname,fixmonth,gotositeenabled,gotositeurl,hasfortnightlyrepayments,hasinterestonly,hasintroductoryrate,hasinvestmentpurpose,hasmonthlyrepayments,hasoffsetaccount,hasowneroccupiedpurpose,hasprincipalandinterest,hasredrawfacility,hasrepayholiday,hasweeklyrepayments,homeloantype,introductoryrate,introductoryterm,legalfee,maxloanterm,maxlvr,maxtotalloanamount,minloanterm,minlvr,minredrawamount,mintotalloanamount,monthlyfees,rate,revertrate,settlementfee,upfrontfee,valuationfee,variationname,variationuuid
False,0,,,3.99,"Greater Bank - Ultimate Fixed Home Loan 4 Years (New Customers) (NSW, ACT & QLD only)",,,3.99,3.99,,,3.99,3.99,,3.99,3.99,3.99,3.99,3.99,True,395,0,0,2/04/2018,Greater Bank,4.49,300,True,5% of original loan amount,Ultimate Loan,48,False,,True,False,False,False,True,False,True,True,True,False,True,FIXED,0,0,0,30,85,,0,,,150000,0,3.99,4.16,0,0,0,"Ultimate Fixed Home Loan 4 Years (New Customers) (NSW, ACT & QLD only)",2a645fba-7746-429a-8afa-c001bbffd5f4
False,0,,,3.99,"Greater Bank - Ultimate Fixed Home Loan 5 Years (New Customers) (NSW, ACT & QLD only)",,,3.99,3.99,,,3.99,3.99,,3.99,3.99,3.99,3.99,3.99,True,395,0,0,2/04/2018,Greater Bank,4.48,300,True,5% of original loan amount,Ultimate Loan,60,False,,True,False,False,False,True,False,True,True,True,False,True,FIXED,0,0,0,30,85,,0,,,150000,0,3.99,4.16,0,0,0,"Ultimate Fixed Home Loan 5 Years (New Customers) (NSW, ACT & QLD only)",2327c2f6-1e8c-4d8a-a6a5-11e463323be0
False,0,,,3.74,"Greater Bank - Ultimate Variable Home Loan (New Customers) (NSW, ACT & QLD only) ",,3.74,3.74,3.74,,3.74,3.74,3.74,,3.74,3.74,3.74,3.74,3.74,True,395,0,0,2/04/2018,Greater Bank,4.12,300,True,0,Ultimate Loan,,False,,True,False,False,False,True,True,True,True,True,False,True,VARIABLE,0,0,0,30,90,,0,,,150000,0,3.74,3.74,0,0,0,"Ultimate Variable Home Loan (New Customers) (NSW, ACT & QLD only) ",10ec54e9-a1b6-41ed-8a82-f21d7b65469d
False,0,,,3.69,"Greater Bank - Great Rate Fixed Home Loan 1 Year (New Customers) (NSW, ACT & QLD only) ",,,3.69,3.69,,,3.69,3.69,,3.69,3.69,3.69,3.69,3.69,True,0,0,0,2/04/2018,Greater Bank,4.3,300,True,5,Great Rate Loan,12,False,,True,False,False,False,True,False,True,True,True,False,True,FIXED,0,0,0,30,85,,0,,,150000,0,3.69,4.36,0,0,0,"Great Rate Fixed Home Loan 1 Year (New Customers) (NSW, ACT & QLD only) ",9afa0d3f-264f-4aa4-8e7f-27944e135203
False,0,,,3.79,"Greater Bank - Great Rate Fixed Home Loan 3 Years (New Customers) (NSW, ACT & QLD only) ",,,3.79,3.79,,,3.79,3.79,,3.79,3.79,3.79,3.79,3.79,True,0,0,0,2/04/2018,Greater Bank,4.21,300,True,5,Great Rate Loan,36,False,,True,False,False,False,True,False,True,True,True,False,True,FIXED,0,0,0,30,85,,0,,,150000,0,3.79,4.36,0,0,0,"Great Rate Fixed Home Loan 3 Years (New Customers) (NSW, ACT & QLD only) ",04c79855-8991-4e83-9a69-292641e2e722
False,0,,,3.74,"Greater Bank - Great Rate Variable Home Loan (New Customers) (NSW, ACT & QLD only)",,3.74,3.74,3.74,,3.74,3.74,3.74,,3.74,3.74,3.74,3.74,3.74,True,0,0,0,2/04/2018,Greater Bank,3.74,300,True,0,Great Rate Loan,,False,,True,False,False,False,True,False,True,True,True,False,True,VARIABLE,0,0,0,30,90,,0,,,150000,0,3.74,3.74,0,0,0,"Great Rate Variable Home Loan (New Customers) (NSW, ACT & QLD only)",4280ce88-ee57-422b-9fc7-1a7b860694e7
False,0,,,,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",,4.49,4.49,4.49,,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,True,395,0,0,2/04/2018,Greater Bank,4.84,300,True,0,Ultimate Loan,60,False,,True,False,False,True,True,False,False,True,True,True,True,FIXED,0,0,0,30,90,,0,,,40000,0,4.49,4.44,0,0,0,"Ultimate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",8bc2bb91-ad1a-43c8-b1c8-5197d12d68b4
False,0,,,,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 3 Years (NSW, ACT & QLD only)",,4.24,4.24,4.24,,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,True,395,0,0,2/04/2018,Greater Bank,4.77,300,True,0,Ultimate Loan,36,False,,True,False,False,True,True,False,False,True,True,True,True,FIXED,0,0,0,30,90,,0,,,40000,0,4.24,4.44,0,0,0,"Ultimate Fixed Investment Loan (Principal and Interest) 3 Years (NSW, ACT & QLD only)",f339844a-6dc1-4eb3-8342-e5874ff951a7
False,0,,,,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",,4.19,4.19,4.19,,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,True,395,0,0,2/04/2018,Greater Bank,4.8,300,True,0,Ultimate Loan,12,False,,True,False,False,True,True,False,False,True,True,True,True,FIXED,0,0,0,30,90,,0,,,40000,0,4.19,4.44,0,0,0,"Ultimate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",50daa857-fc7d-41b9-9d41-26bde9e64f01
False,0,,,4.19,"Greater Bank - Ultimate Fixed Home Loan 4 Years (NSW, ACT & QLD only)",4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,,4.19,4.19,4.19,4.19,4.19,True,395,0,0,2/04/2018,Greater Bank,4.56,300,True,5,Ultimate Loan,48,False,,True,False,False,False,True,False,True,True,True,True,True,FIXED,0,0,0,30,95,,0,,,40000,0,4.19,4.16,0,0,0,"Ultimate Fixed Home Loan 4 Years (NSW, ACT & QLD only)",e335d8a5-fe40-4640-add8-f02a3616ef5e
