companyname,variationname,variationuuid,homeloantype,rate,comparisonrate,fixmonth,revertrate,introductoryrate,hasinvestmentpurpose,hasowneroccupiedpurpose,hasprincipalandinterest,hasinterestonly,hasweeklyrepayments,hasfortnightlyrepayments,hasmonthlyrepayments,minloanterm,maxlvr,maxloanterm,mintotalloanamount,maxtotalloanamount,extrarepaymentsallowed,hasoffsetaccount,hasredrawfacility,applicationfee,legalfee,valuationfee,settlementfee,dischargefee,IF Code,IF Product
Greater Bank,"Ultimate Fixed Home Loan 4 Years (New Customers) (NSW, ACT & QLD only)",2a645fba-7746-429a-8afa-c001bbffd5f4,MATCH,MATCH,MATCH,MATCH,4.16 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,85 vs 80,MATCH,MATCH, vs 5000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,392124,Greater Bank Limited - Discount Fixed Ultimate Home Loan Package 4 Year
Greater Bank,"Ultimate Fixed Home Loan 5 Years (New Customers) (NSW, ACT & QLD only)",2327c2f6-1e8c-4d8a-a6a5-11e463323be0,MATCH,MATCH,MATCH,MATCH,4.16 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,85 vs 80,MATCH,MATCH, vs 5000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,392125,Greater Bank Limited - Discount Fixed Ultimate Home Loan Package 5 Year
Greater Bank,"Ultimate Variable Home Loan (New Customers) (NSW, ACT & QLD only) ",10ec54e9-a1b6-41ed-8a82-f21d7b65469d,MATCH,MATCH,MATCH, vs 0,3.74 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,90 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,343640,Greater Bank Limited - Discount Ultimate Home Loan Package
Greater Bank,"Great Rate Fixed Home Loan 1 Year (New Customers) (NSW, ACT & QLD only) ",9afa0d3f-264f-4aa4-8e7f-27944e135203,MATCH,MATCH,4.3 vs 4.30,MATCH,4.36 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,85 vs 80,MATCH,MATCH, vs 5000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,392071,Greater Bank Limited - Discount Fixed Great Rate Home Loan 1 Year
Greater Bank,"Great Rate Fixed Home Loan 3 Years (New Customers) (NSW, ACT & QLD only) ",04c79855-8991-4e83-9a69-292641e2e722,MATCH,MATCH,MATCH,MATCH,4.36 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,85 vs 80,MATCH,MATCH, vs 5000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,392073,Greater Bank Limited - Discount Fixed Great Rate Home Loan 3 Year
Greater Bank,"Great Rate Variable Home Loan (New Customers) (NSW, ACT & QLD only)",4280ce88-ee57-422b-9fc7-1a7b860694e7,MATCH,MATCH,MATCH, vs 0,3.74 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,90 vs 80,MATCH,MATCH, vs 10000000,MATCH,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,355830,Greater Bank Limited - Discount Great Rate Home Loan
Greater Bank,"Ultimate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",8bc2bb91-ad1a-43c8-b1c8-5197d12d68b4,MATCH,MATCH,MATCH,MATCH,4.44 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,90 vs 80,MATCH,40000 vs 5000, vs 10000000,True vs FALSE,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,449885,Greater Bank Limited - Fixed Ultimate Home Loan Package (Investment) 5 Year
Greater Bank,"Ultimate Fixed Investment Loan (Principal and Interest) 3 Years (NSW, ACT & QLD only)",f339844a-6dc1-4eb3-8342-e5874ff951a7,MATCH,MATCH,MATCH,MATCH,4.44 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,90 vs 80,MATCH,40000 vs 5000, vs 10000000,True vs FALSE,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,449883,Greater Bank Limited - Fixed Ultimate Home Loan Package (Investment) 3 Year
Greater Bank,"Ultimate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",50daa857-fc7d-41b9-9d41-26bde9e64f01,MATCH,MATCH,4.8 vs 4.80,MATCH,4.44 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,90 vs 80,MATCH,40000 vs 5000, vs 10000000,True vs FALSE,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,449881,Greater Bank Limited - Fixed Ultimate Home Loan Package (Investment) 1 Year
Greater Bank,"Ultimate Fixed Home Loan 4 Years (NSW, ACT & QLD only)",e335d8a5-fe40-4640-add8-f02a3616ef5e,MATCH,MATCH,MATCH,MATCH,4.16 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,95 vs 80,MATCH,40000 vs 5000, vs 10000000,True vs FALSE,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,286554,Greater Bank Limited - Fixed Ultimate Home Loan Package 4 Year
Greater Bank,"Ultimate Fixed Home Loan 1 Year (NSW, ACT & QLD only)",add7d06f-b0c1-4246-bc5c-dae8dbeb3ec3,MATCH,MATCH,MATCH,MATCH,4.16 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,95 vs 80,MATCH,40000 vs 5000, vs 10000000,True vs FALSE,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,286551,Greater Bank Limited - Fixed Ultimate Home Loan Package 1 Year
Greater Bank,"Ultimate Fixed Home Loan 3 Years (NSW, ACT & QLD only)",39e2c00b-47e7-4ff8-b171-7c7c1c5a60b5,MATCH,MATCH,MATCH,MATCH,4.16 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,95 vs 80,MATCH,40000 vs 5000, vs 10000000,True vs FALSE,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,286553,Greater Bank Limited - Fixed Ultimate Home Loan Package 3 Year
Greater Bank,"Great Rate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",3d1fae5b-3222-440f-9dd4-af8b60866efb,MATCH,MATCH,MATCH,MATCH,4.64 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,90 vs 80,MATCH, vs 5000, vs 10000000,MATCH,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,449905,Greater Bank Limited - Fixed Great Rate Home Loan (Investment) 5 Year
Greater Bank,"Great Rate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",3d34ea9b-d3bc-4936-ac77-cec4c90b7b00,MATCH,MATCH,MATCH,MATCH,4.64 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,90 vs 80,MATCH, vs 5000, vs 10000000,MATCH,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,449901,Greater Bank Limited - Fixed Great Rate Home Loan (Investment) 1 Year
Greater Bank,"Great Rate Fixed Investment Loan (Principal and Interest) 2 Years (NSW, ACT & QLD only)",5a2b1f7a-64ff-4420-8895-dea152191b3a,MATCH,MATCH,MATCH,MATCH,4.64 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,90 vs 80,MATCH, vs 5000, vs 10000000,MATCH,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,449902,Greater Bank Limited - Fixed Great Rate Home Loan (Investment) 2 Year
Greater Bank,"Great Rate Fixed Home Loan 1 Year (NSW, ACT & QLD only)",6923eb75-d0eb-4611-93e5-f3b354c8c147,MATCH,MATCH,MATCH,MATCH,4.36 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,0 vs 10,95 vs 80,MATCH, vs 5000, vs 10000000,MATCH,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,300 vs 0,134261,Greater Bank Limited - Fixed Great Rate Home Loan 1 Year
