rc_code,if_code,mz_code
d7a7288f-ab31-4ba5-b03c-c8ae905010f8,0,0
5c31cf0a-f158-4ccd-b72d-41ef04e7b778,0,0
00e52e42-2f84-4706-94c3-f66b841ebce8,0,0
deb98859-c6bf-4f63-b259-e52584cf4efc,0,0
9cf6eb3f-a77b-4cc0-9d41-4be3f355960a,0,0
63afb5b1-af2b-4f5f-b83d-7b9aa390f66e,0,0
30d162f6-0ce8-47d6-9e0c-000f447e5e06,0,0
249f678f-85c2-455e-b1a2-9888f104e41a,0,0
6d181620-df95-4e63-a3d0-0a642c04224b,0,0
b5aa85a3-f176-4174-9c56-4f5a6965ec51,0,0
c9c79f32-632d-49f2-a4d0-fdd61a919358,0,0
28bc50b7-37a8-48ec-a143-feccbeae4ce0,0,0
43e990da-b5f1-4256-b5ef-085a426e83a4,0,0
0ce77249-4afb-4a1e-ae77-6a20271f4415,0,0
b1aaa65c-4541-46ee-97ba-aa8c8ad6bfc9,0,0
893bc0c6-681d-4179-a287-c5372b1338ea,0,0
eb8aed7a-da41-40a7-ac61-783c98228702,0,0
d198af76-b211-4a69-9c77-69dc117ebf46,0,0
ad51e3dd-0242-4c78-b9a1-c5af5a64d11a,0,0
553d0ac1-6078-4b2c-b0f4-068ae68561e0,0,0
8427e547-0936-4943-bdbb-db4217ea320e,0,0
b6762c59-7258-46e1-b4c9-93ea7b280861,0,0
4f494a48-0e44-4ec1-856d-f12d435f3411,0,0
0bddd17f-79ca-4085-9682-9b41d6439c74,0,0
8dedb4a8-b271-4d7e-9668-35f9dbcc55f9,0,0
e175e9c9-bab6-4505-88d2-e432928c330c,0,0
1dceaaae-2ca7-4eb6-a8a4-7d5c1343046d,0,0
45b9ac2f-0d42-4fb2-b3fd-4fe502e560cb,0,0
6eed0a5f-93a4-4aaf-9926-46f41e14d293,524020,4449
6ee69fe3-1a2a-490f-807e-31655e85c5bb,24780,1387
288c9670-0fde-4e75-8837-b0efa39fefe6,0,1761
aad60a77-5769-426c-9f80-8cf4e73da120,524030,4451
5291e78e-add6-4e76-b142-71f4621b35ea,403200,2490
7fc5bec9-e2a8-40cb-bc75-cfcecb7f2c91,523961,4447 Fixed 1 year rate
e90fc2d8-9fa6-4053-ab87-cf374403034a,523962,4447 Fixed 2 year rate
1915a58c-309e-4c15-9c54-9b67d96bbfd9,523963,4447 Fixed 3 year rate
23b8f584-be41-4bc9-a6ee-4975c0934a62,523964,4447 Fixed 4 year rate
5b54e787-4a7d-40a6-bb85-45a621ef19d7,523965,4447 Fixed 5 year rate
8459b70a-42e2-467c-8675-f62321938d7e,25101,396 Fixed 1 year rate
36fb8193-6d1e-443c-b7dc-25ee2a06bfe6,25102,396 Fixed 2 year rate
80a082f2-4b86-49ce-8160-87c3da75e2a0,25103,396 Fixed 3 year rate
e5bc2d75-9b46-479f-8459-49a7bb5237f6,25104,396 Fixed 4 year rate
31a138cc-615c-4d91-880c-5b1b46afebfe,25105,396 Fixed 5 year rate
