RC Code,Ratecity,IF Code,Infochoice
2a645fba-7746-429a-8afa-c001bbffd5f4,"Greater Bank - Ultimate Fixed Home Loan 4 Years (New Customers) (NSW, ACT & QLD only)",392124,Greater Bank Limited - Discount Fixed Ultimate Home Loan Package 4 Year
2327c2f6-1e8c-4d8a-a6a5-11e463323be0,"Greater Bank - Ultimate Fixed Home Loan 5 Years (New Customers) (NSW, ACT & QLD only)",392125,Greater Bank Limited - Discount Fixed Ultimate Home Loan Package 5 Year
10ec54e9-a1b6-41ed-8a82-f21d7b65469d,"Greater Bank - Ultimate Variable Home Loan (New Customers) (NSW, ACT & QLD only) ",196280,Greater Bank Limited - Ultimate Home Loan Package
9afa0d3f-264f-4aa4-8e7f-27944e135203,"Greater Bank - Great Rate Fixed Home Loan 1 Year (New Customers) (NSW, ACT & QLD only) ",392071,Greater Bank Limited - Discount Fixed Great Rate Home Loan 1 Year
04c79855-8991-4e83-9a69-292641e2e722,"Greater Bank - Great Rate Fixed Home Loan 3 Years (New Customers) (NSW, ACT & QLD only) ",392073,Greater Bank Limited - Discount Fixed Great Rate Home Loan 3 Year
4280ce88-ee57-422b-9fc7-1a7b860694e7,"Greater Bank - Great Rate Variable Home Loan (New Customers) (NSW, ACT & QLD only)",355830,Greater Bank Limited - Discount Great Rate Home Loan
8bc2bb91-ad1a-43c8-b1c8-5197d12d68b4,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",449885,Greater Bank Limited - Fixed Ultimate Home Loan Package (Investment) 5 Year
f339844a-6dc1-4eb3-8342-e5874ff951a7,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 3 Years (NSW, ACT & QLD only)",449883,Greater Bank Limited - Fixed Ultimate Home Loan Package (Investment) 3 Year
50daa857-fc7d-41b9-9d41-26bde9e64f01,"Greater Bank - Ultimate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",449881,Greater Bank Limited - Fixed Ultimate Home Loan Package (Investment) 1 Year
e335d8a5-fe40-4640-add8-f02a3616ef5e,"Greater Bank - Ultimate Fixed Home Loan 4 Years (NSW, ACT & QLD only)",286554,Greater Bank Limited - Fixed Ultimate Home Loan Package 4 Year
add7d06f-b0c1-4246-bc5c-dae8dbeb3ec3,"Greater Bank - Ultimate Fixed Home Loan 1 Year (NSW, ACT & QLD only)",286551,Greater Bank Limited - Fixed Ultimate Home Loan Package 1 Year
39e2c00b-47e7-4ff8-b171-7c7c1c5a60b5,"Greater Bank - Ultimate Fixed Home Loan 3 Years (NSW, ACT & QLD only)",286553,Greater Bank Limited - Fixed Ultimate Home Loan Package 3 Year
3d1fae5b-3222-440f-9dd4-af8b60866efb,"Greater Bank - Great Rate Fixed Investment Loan (Principal and Interest) 5 Years (NSW, ACT & QLD only)",449905,Greater Bank Limited - Fixed Great Rate Home Loan (Investment) 5 Year
3d34ea9b-d3bc-4936-ac77-cec4c90b7b00,"Greater Bank - Great Rate Fixed Investment Loan (Principal and Interest) 1 Year (NSW, ACT & QLD only)",449901,Greater Bank Limited - Fixed Great Rate Home Loan (Investment) 1 Year
5a2b1f7a-64ff-4420-8895-dea152191b3a,"Greater Bank - Great Rate Fixed Investment Loan (Principal and Interest) 2 Years (NSW, ACT & QLD only)",449902,Greater Bank Limited - Fixed Great Rate Home Loan (Investment) 2 Year
6923eb75-d0eb-4611-93e5-f3b354c8c147,"Greater Bank - Great Rate Fixed Home Loan 1 Year (NSW, ACT & QLD only)",134261,Greater Bank Limited - Fixed Great Rate Home Loan 1 Year
708ba0f0-81b9-4932-b4d2-345011bb37a9,"Greater Bank - Great Rate Fixed Home Loan 3 Years (NSW, ACT & QLD only)",134263,Greater Bank Limited - Fixed Great Rate Home Loan 3 Year
67a5ea29-d7ca-4ad1-a4a3-0d685e1076c4,"Greater Bank - Great Rate Fixed Home Loan 5 Years (NSW, ACT & QLD only)",134265,Greater Bank Limited - Fixed Great Rate Home Loan 5 Year
67e4a854-9665-4428-a2df-8d85ee7ccc13,SCU - Pro Pack Investment Loan (Principal and Interest),81490,SCU - Propack Home Loan (Over 250000)  Principal & Interest Investment
179cfd38-6f6e-42e9-8e14-fe83e1077460,SCU - Pro Pack Home Loan ($250k+),81480,SCU - Propack Home Loan (150000 - 249999)
3044fd96-6fab-4c64-b0f8-7bc6d5343f54,SCU - My Life Variable Rate Package ($150k-$250k),353920,SCU - My Life Variable Home Loan Package (250-000-499999) Principal & Interest
05f740a5-99ec-4695-b34d-eb5ccdaf394c,SCU - My Life Variable Rate Package ($250k-$500k),353920,SCU - My Life Variable Home Loan Package (250-000-499999) Principal & Interest
15383ba4-09bb-4c4c-ad04-285fac668b5b,SCU - My Life Fixed Rate Package 3 Years,25113,SCU - Owner Occupied - Fixed Interest Rate Home Loan 3 Year
cb7645b6-01d6-43ef-9478-4b52a81a032a,SCU - My Life Fixed Rate Package 5 Years,25115,SCU - Owner Occupied - Fixed Interest Rate Home Loan 5 Year
a56b8395-4075-4dd7-8574-b45d01eefa60,SCU - Fixed Rate Investment Loan (Principal and Interest) 5 Years,0,0
3d1fec94-cbab-4f19-8f7a-de14400dca7e,SCU - Fixed Rate Investment Loan (Principal and Interest) 2 Years,0,0
ef4e2d59-9f27-4bfc-9933-0e0c9f13c458,SCU - Fixed Rate Home Loan 3 Years,25113,SCU - Owner Occupied - Fixed Interest Rate Home Loan 3 Year
e3eb9ab0-8fad-4b4f-ac47-79ed93a82f00,SCU - Fixed Rate Home Loan 1 Year,25111,SCU - Owner Occupied - Fixed Interest Rate Home Loan 1 Year
66c12c16-e118-43b8-9213-f160a3ca7fd6,SCU - Basic Variable Rate Home Loan,18550,SCU - Standard Variable Rate Home Loan
93415b04-35b1-49f6-955d-1f04bae330bf,NAB - Choice Package Tailored Home Loan Fixed (Interest Only in Advance) 2 Years,20282,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest 2 Year
3db01c95-1029-4c1a-892f-1b4ec62e42a1,NAB - Choice Package Tailored Home Loan Fixed (Interest Only in Advance) 4 Years,20284,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest 4 Year
50500a81-fc96-4dfd-a8a8-0e0032b92b4e,NAB - Choice Package Tailored Home Loan Fixed (Interest Only in Advance) 1 Year,20281,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest 1 Year
4b5502fd-8c50-42b0-9d46-ff61d55cdccf,NAB - Tailored Home Loan Fixed (Interest Only in Advance) 4 Years,20284,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest 4 Year
a4cdcd47-f953-4b36-8352-2ad68b54dc08,NAB - Tailored Home Loan Fixed (Interest Only in Advance) 2 Years,20282,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest 2 Year
bd027eaa-31da-4d71-9519-053712c62149,NAB - Tailored Investment Loan Fixed (Interest Only in Advance) 1 Year,428971,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment) 1 Year
